Id,WhatId,ActivityDate,Status,OwnerId,Type,TaskSubtype
00T2e000003thyCEAQ,0062e000002HGDxAAO,26/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tfIREAY,0062e000002HGDxAAO,26/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003u5acEAA,0062e000002HGjPAAW,5/9/19,Completed,0052e000000Ifz4AAC,,Email
00T2e00000621urEAA,0062e000002HGflAAG,27/5/20,Completed,0052e000000VJC5AAO,,Email
00T2e000005fDaWEAU,0062e000002HGflAAG,6/9/19,Completed,0052e000000VJC5AAO,,Email
00T2e000005fDa6EAE,0062e000002HGflAAG,9/9/19,Completed,0052e000000VJC5AAO,,Email
00T2e0000046MRmEAM,0062e000002HGpqAAG,3/2/20,Not Started,0052e000000VJBXAA4,Call,Task
00T2e000006QnuzEAC,0062e000002HGfmAAG,22/7/20,Completed,0052e000000VJC5AAO,,Email
00T2e000006QntEEAS,0062e000002HGfmAAG,22/7/20,Completed,0052e000000VJC5AAO,,Email
00T2e0000065RxZEAU,0062e000002HGfmAAG,2/6/20,Completed,0052e000000VJC5AAO,,Email
00T2e0000065RwUEAU,0062e000002HGfmAAG,2/6/20,Completed,0052e000000VJC5AAO,,Email
00T2e000005fDbAEAU,0062e000002HGfmAAG,28/10/19,Completed,0052e000000VJC5AAO,,Email
00T2e000005fDBNEA2,0062e000002HGfmAAG,8/5/20,Completed,0052e000000VJC5AAO,,Email
00T2e000005yV22EAE,0062e000002HGfoAAG,3/12/19,Completed,0052e000000VJC5AAO,,Email
00T2e000005yUtPEAU,0062e000002HGfoAAG,11/11/19,Completed,0052e000000VJC5AAO,,Email
00T2e0000065RjaEAE,0062e000002HGfpAAG,1/6/20,Completed,0052e000000VJC5AAO,,Email
00T2e0000065RggEAE,0062e000002HGfpAAG,1/6/20,Completed,0052e000000VJC5AAO,,Email
00T2e0000065ReBEAU,0062e000002HGfpAAG,1/6/20,Completed,0052e000000VJC5AAO,,Email
00T2e0000062xgSEAQ,0062e000002HGfpAAG,22/6/20,Completed,0052e000000VJC5AAO,Other,Task
00T2e0000062xHjEAI,0062e000002HGfpAAG,1/6/20,Completed,0052e000000VJC5AAO,,Email
00T2e000005jt9UEAQ,0062e000002HGfpAAG,15/5/20,Completed,0052e000000VJC5AAO,,Email
00T2e000003tpXpEAI,0062e000002HGfxAAG,9/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tpP4EAI,0062e000002HGfxAAG,9/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tvKIEAY,0062e000002HGfzAAG,9/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003u1FSEAY,0062e000002HGoQAAW,25/9/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tlqSEAQ,0062e000002HGhdAAG,20/9/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tiAdEAI,0062e000002HGhdAAG,30/9/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003ti0cEAA,0062e000002HGhmAAG,8/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tm6mEAA,0062e000002HGhrAAG,30/9/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tfMtEAI,0062e000002HGhrAAG,16/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tenuEAA,0062e000002HGhrAAG,16/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003u1gUEAQ,0062e000002HGhtAAG,2/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000004sCJOEA2,0062e000002HGf9AAG,20/2/20,Completed,0052e000000VtU9AAK,,Email
00T2e000003u4ydEAA,0062e000002HGfAAAW,15/10/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tyx7EAA,0062e000002HGfAAAW,31/10/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003ttdlEAA,0062e000002HGfAAAW,15/10/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tqFJEAY,0062e000002HGpPAAW,30/10/19,Completed,0052e000000Ifz4AAC,,Email
00T2e0000065RmAEAU,0062e000002HGigAAG,2/6/20,Completed,0052e000000VJC5AAO,,Email
00T2e000005fYizEAE,0062e000002HGigAAG,20/11/19,Completed,0052e000000VJC5AAO,,Email
00T2e000006Qnf5EAC,0062e000002HGihAAG,22/7/20,Completed,0052e000000VJC5AAO,,Email
00T2e0000065RqgEAE,0062e000002HGihAAG,2/6/20,Completed,0052e000000VJC5AAO,,Email
00T2e000005cCzXEAU,0062e000002HGihAAG,13/1/20,Completed,0052e000000VJC5AAO,,Email
